year,sum,variable,timescale,country
2001,112.58599999999998,BA_Total,yearly,COL
2002,94.341,BA_Total,yearly,COL
2003,148.285,BA_Total,yearly,COL
2004,187.459,BA_Total,yearly,COL
2005,103.553,BA_Total,yearly,COL
2006,77.603,BA_Total,yearly,COL
2007,173.01699999999997,BA_Total,yearly,COL
2008,126.07100000000001,BA_Total,yearly,COL
2009,86.23899999999999,BA_Total,yearly,COL
2010,88.922,BA_Total,yearly,COL
2011,70.413,BA_Total,yearly,COL
2012,69.03899999999999,BA_Total,yearly,COL
2013,81.78399999999999,BA_Total,yearly,COL
2014,116.69000000000001,BA_Total,yearly,COL
2015,66.75,BA_Total,yearly,COL
2016,95.107,BA_Total,yearly,COL
2017,63.455,BA_Total,yearly,COL
2018,118.445,BA_Total,yearly,COL
2019,79.513,BA_Total,yearly,COL
2020,111.86199999999998,BA_Total,yearly,COL
2021,61.741,BA_Total,yearly,COL
2022,100.02999999999999,BA_Total,yearly,COL
2023,54.331999999999994,BA_Total,yearly,COL
