year,sum,variable,timescale,country
2002,0.0,Cem_Total,yearly,IRL
2003,0.0012584858142168922,Cem_Total,yearly,IRL
2004,0.0,Cem_Total,yearly,IRL
2005,0.0006376362318773728,Cem_Total,yearly,IRL
2006,0.0024527544809939726,Cem_Total,yearly,IRL
2007,0.014039970728310985,Cem_Total,yearly,IRL
2008,0.0,Cem_Total,yearly,IRL
2009,0.0,Cem_Total,yearly,IRL
2010,0.01252527897480992,Cem_Total,yearly,IRL
2011,0.0011334813325667038,Cem_Total,yearly,IRL
2012,6.629265811468506e-05,Cem_Total,yearly,IRL
2013,0.0,Cem_Total,yearly,IRL
2014,0.0,Cem_Total,yearly,IRL
2015,0.011213670157206496,Cem_Total,yearly,IRL
2016,2.5560183173477172e-05,Cem_Total,yearly,IRL
2017,0.015011158351559348,Cem_Total,yearly,IRL
2018,0.006040249838363586,Cem_Total,yearly,IRL
2019,6.150112367694091e-05,Cem_Total,yearly,IRL
2020,0.0023381997382144314,Cem_Total,yearly,IRL
