year,sum,variable,timescale,region
2001,0.0,BA_Forest_NonForest,seasonal_djf,IRQ
2002,0.0,BA_Forest_NonForest,seasonal_djf,IRQ
2003,0.0,BA_Forest_NonForest,seasonal_djf,IRQ
2004,0.0,BA_Forest_NonForest,seasonal_djf,IRQ
2005,0.0,BA_Forest_NonForest,seasonal_djf,IRQ
2006,0.0,BA_Forest_NonForest,seasonal_djf,IRQ
2007,0.0,BA_Forest_NonForest,seasonal_djf,IRQ
2008,0.0,BA_Forest_NonForest,seasonal_djf,IRQ
2009,0.0,BA_Forest_NonForest,seasonal_djf,IRQ
2010,0.0,BA_Forest_NonForest,seasonal_djf,IRQ
2011,0.0,BA_Forest_NonForest,seasonal_djf,IRQ
2012,0.0,BA_Forest_NonForest,seasonal_djf,IRQ
2013,0.0,BA_Forest_NonForest,seasonal_djf,IRQ
2014,0.0,BA_Forest_NonForest,seasonal_djf,IRQ
2015,0.0,BA_Forest_NonForest,seasonal_djf,IRQ
2016,0.0,BA_Forest_NonForest,seasonal_djf,IRQ
2017,0.0,BA_Forest_NonForest,seasonal_djf,IRQ
2018,0.0,BA_Forest_NonForest,seasonal_djf,IRQ
2019,0.0,BA_Forest_NonForest,seasonal_djf,IRQ
2020,0.0,BA_Forest_NonForest,seasonal_djf,IRQ
2021,0.001,BA_Forest_NonForest,seasonal_djf,IRQ
2022,0.07,BA_Forest_NonForest,seasonal_djf,IRQ
2023,0.002,BA_Forest_NonForest,seasonal_djf,IRQ
