year,sum,variable,timescale,region
2001,693.3529999999998,BA_Total,yearly,BR
2002,1077.9129999999998,BA_Total,yearly,BR
2003,762.9239999999999,BA_Total,yearly,BR
2004,953.2379999999998,BA_Total,yearly,BR
2005,1043.1429999999998,BA_Total,yearly,BR
2006,585.1809999999998,BA_Total,yearly,BR
2007,1788.8899999999994,BA_Total,yearly,BR
2008,710.8439999999998,BA_Total,yearly,BR
2009,421.43199999999996,BA_Total,yearly,BR
2010,1691.8059999999998,BA_Total,yearly,BR
2011,658.1639999999999,BA_Total,yearly,BR
2012,1118.1619999999998,BA_Total,yearly,BR
2013,456.0739999999999,BA_Total,yearly,BR
2014,736.6179999999999,BA_Total,yearly,BR
2015,934.9619999999998,BA_Total,yearly,BR
2016,737.6009999999998,BA_Total,yearly,BR
2017,957.0399999999998,BA_Total,yearly,BR
2018,404.9579999999999,BA_Total,yearly,BR
2019,905.2499999999999,BA_Total,yearly,BR
2020,997.9459999999999,BA_Total,yearly,BR
2021,730.8069999999998,BA_Total,yearly,BR
2022,629.3399999999998,BA_Total,yearly,BR
2023,77.019,BA_Total,yearly,BR
