year,sum,variable,timescale,country
2002,0.08671849700452049,Cem_Total,seasonal_son,GUY
2003,0.030310496354777963,Cem_Total,seasonal_son,GUY
2004,0.03434898355295714,Cem_Total,seasonal_son,GUY
2005,0.1166566892268132,Cem_Total,seasonal_son,GUY
2006,0.027195673309171768,Cem_Total,seasonal_son,GUY
2007,0.051013661151518855,Cem_Total,seasonal_son,GUY
2008,0.03665524272845215,Cem_Total,seasonal_son,GUY
2009,0.09548665666697198,Cem_Total,seasonal_son,GUY
2010,0.014875209195946267,Cem_Total,seasonal_son,GUY
2011,0.01669852331727588,Cem_Total,seasonal_son,GUY
2012,0.11800729699823528,Cem_Total,seasonal_son,GUY
2013,0.06378520383969094,Cem_Total,seasonal_son,GUY
2014,0.08579431660744292,Cem_Total,seasonal_son,GUY
2015,0.24047570595819204,Cem_Total,seasonal_son,GUY
2016,0.04664797275539523,Cem_Total,seasonal_son,GUY
2017,0.074518034911838,Cem_Total,seasonal_son,GUY
2018,0.07038504474108712,Cem_Total,seasonal_son,GUY
2019,0.031566103608677884,Cem_Total,seasonal_son,GUY
2020,0.1049491948582003,Cem_Total,seasonal_son,GUY
