year,sum,variable,timescale,country
2001,0.387,BA_Total,seasonal_jja,ALB
2002,0.0,BA_Total,seasonal_jja,ALB
2003,0.487,BA_Total,seasonal_jja,ALB
2004,0.05,BA_Total,seasonal_jja,ALB
2005,0.308,BA_Total,seasonal_jja,ALB
2006,0.06,BA_Total,seasonal_jja,ALB
2007,4.235,BA_Total,seasonal_jja,ALB
2008,0.555,BA_Total,seasonal_jja,ALB
2009,0.17900000000000002,BA_Total,seasonal_jja,ALB
2010,0.377,BA_Total,seasonal_jja,ALB
2011,1.3170000000000002,BA_Total,seasonal_jja,ALB
2012,1.5100000000000002,BA_Total,seasonal_jja,ALB
2013,0.032,BA_Total,seasonal_jja,ALB
2014,0.009000000000000001,BA_Total,seasonal_jja,ALB
2015,0.023,BA_Total,seasonal_jja,ALB
2016,0.138,BA_Total,seasonal_jja,ALB
2017,1.1120000000000003,BA_Total,seasonal_jja,ALB
2018,0.0,BA_Total,seasonal_jja,ALB
2019,0.095,BA_Total,seasonal_jja,ALB
2020,0.153,BA_Total,seasonal_jja,ALB
2021,0.622,BA_Total,seasonal_jja,ALB
2022,0.251,BA_Total,seasonal_jja,ALB
2023,0.0,BA_Total,seasonal_jja,ALB
